WAKTU,SUZUKI
01/01/2021,6400
01/02/2021,4600
01/03/2021,8669
01/04/2021,8100
01/05/2021,5341
01/06/2021,8965
01/07/2021,6274
01/08/2021,10021
01/09/2021,7515
01/10/2021,7624
01/11/2021,8512
01/12/2021,9772
01/01/2022,7017
01/02/2022,6750
01/03/2022,8604
01/04/2022,5801
01/05/2022,6026
01/06/2022,7215
01/07/2022,7467
01/08/2022,8064
01/09/2022,7651
01/10/2022,7663
01/11/2022,8160
01/12/2022,9990
01/01/2023,5768
01/02/2023,6197
01/03/2023,7512
01/04/2023,4363
01/05/2023,5402
01/06/2023,7227
01/07/2023,5139
01/08/2023,5980
01/09/2023,5860
01/10/2023,5502
01/11/2023,6602
01/01/2024,3242
01/02/2024,2999
01/03/2024,3503
01/04/2024,2555
01/05/2024,2736
01/06/2024,2198
01/07/2024,2557
01/08/2024,2582
01/09/2024,2677
01/10/2024,2773
01/11/2024,2943
01/12/2024,3820
01/01/2025,3370.613
01/02/2025,3047.704
01/03/2025,3223.22
01/04/2025,2767.379
01/05/2025,2004.813
01/06/2025,3499.336
01/07/2025,2666.235
